model,noise,seed,accuracy,f1,disagreement
Выбрано по CV,0.0,5,0.9771428571428571,0.9777777777777777,0.0
Выбрано по CV,0.05,5,0.9714285714285714,0.9720670391061452,0.005714285714285714
Выбрано по CV,0.1,5,0.9771428571428571,0.9777777777777777,0.0
Выбрано по CV,0.2,5,0.9657142857142857,0.9666666666666667,0.011428571428571429
"k=1, uniform",0.0,6,0.9314285714285714,0.9318181818181818,0.0
"k=1, uniform",0.05,6,0.8857142857142857,0.8850574712643678,0.045714285714285714
"k=1, uniform",0.1,6,0.8285714285714286,0.8333333333333334,0.12571428571428572
"k=1, uniform",0.2,6,0.7142857142857143,0.7159090909090909,0.24
"k=15, uniform",0.0,6,0.96,0.96,0.0
"k=15, uniform",0.05,6,0.9542857142857143,0.9540229885057471,0.005714285714285714
"k=15, uniform",0.1,6,0.9485714285714286,0.9485714285714286,0.011428571428571429
"k=15, uniform",0.2,6,0.9657142857142857,0.9659090909090909,0.005714285714285714
"k=15, distance",0.0,6,0.9657142857142857,0.9659090909090909,0.0
"k=15, distance",0.05,6,0.9485714285714286,0.9479768786127167,0.017142857142857144
"k=15, distance",0.1,6,0.9428571428571428,0.9431818181818182,0.03428571428571429
"k=15, distance",0.2,6,0.9257142857142857,0.9257142857142857,0.05142857142857143
Выбрано по CV,0.0,6,0.96,0.96045197740113,0.0
Выбрано по CV,0.05,6,0.9542857142857143,0.9545454545454546,0.005714285714285714
Выбрано по CV,0.1,6,0.9542857142857143,0.9545454545454546,0.005714285714285714
Выбрано по CV,0.2,6,0.9542857142857143,0.9545454545454546,0.005714285714285714
"k=1, uniform",0.0,7,0.96,0.9608938547486033,0.0
"k=1, uniform",0.05,7,0.8971428571428571,0.9,0.06285714285714286
"k=1, uniform",0.1,7,0.84,0.8461538461538461,0.12
"k=1, uniform",0.2,7,0.7714285714285715,0.7802197802197802,0.18857142857142858
"k=15, uniform",0.0,7,0.9771428571428571,0.9775280898876404,0.0
"k=15, uniform",0.05,7,0.9771428571428571,0.9775280898876404,0.0
"k=15, uniform",0.1,7,0.9714285714285714,0.9720670391061452,0.005714285714285714
"k=15, uniform",0.2,7,0.9542857142857143,0.9550561797752809,0.03428571428571429
"k=15, distance",0.0,7,0.9771428571428571,0.9775280898876404,0.0
"k=15, distance",0.05,7,0.9771428571428571,0.9775280898876404,0.0
"k=15, distance",0.1,7,0.9542857142857143,0.9555555555555556,0.022857142857142857
"k=15, distance",0.2,7,0.9085714285714286,0.9090909090909091,0.08
Выбрано по CV,0.0,7,0.9828571428571429,0.9832402234636871,0.0
Выбрано по CV,0.05,7,0.9828571428571429,0.9832402234636871,0.0
Выбрано по CV,0.1,7,0.9771428571428571,0.9775280898876404,0.005714285714285714
Выбрано по CV,0.2,7,0.9714285714285714,0.9723756906077348,0.022857142857142857
"k=1, uniform",0.0,8,0.9371428571428572,0.9371428571428572,0.0
"k=1, uniform",0.05,8,0.88,0.88,0.05714285714285714
"k=1, uniform",0.1,8,0.8342857142857143,0.8361581920903954,0.10285714285714286
"k=1, uniform",0.2,8,0.7257142857142858,0.7176470588235294,0.22285714285714286
"k=15, uniform",0.0,8,0.9714285714285714,0.9723756906077348,0.0
"k=15, uniform",0.05,8,0.9657142857142857,0.9666666666666667,0.005714285714285714
"k=15, uniform",0.1,8,0.9657142857142857,0.9666666666666667,0.005714285714285714
"k=15, uniform",0.2,8,0.9657142857142857,0.967032967032967,0.005714285714285714
"k=15, distance",0.0,8,0.9714285714285714,0.9720670391061452,0.0
"k=15, distance",0.05,8,0.9714285714285714,0.9720670391061452,0.0
"k=15, distance",0.1,8,0.9714285714285714,0.9720670391061452,0.0
"k=15, distance",0.2,8,0.9371428571428572,0.9371428571428572,0.045714285714285714
Выбрано по CV,0.0,8,0.9714285714285714,0.9723756906077348,0.0
Выбрано по CV,0.05,8,0.9714285714285714,0.9723756906077348,0.0
Выбрано по CV,0.1,8,0.9714285714285714,0.9723756906077348,0.0
Выбрано по CV,0.2,8,0.96,0.9608938547486033,0.011428571428571429
"k=1, uniform",0.0,9,0.9542857142857143,0.9550561797752809,0.0
"k=1, uniform",0.05,9,0.9371428571428572,0.9378531073446328,0.017142857142857144
"k=1, uniform",0.1,9,0.8857142857142857,0.8850574712643678,0.09142857142857143
"k=1, uniform",0.2,9,0.8,0.8044692737430168,0.2
"k=15, uniform",0.0,9,0.96,0.96045197740113,0.0
"k=15, uniform",0.05,9,0.96,0.9608938547486033,0.011428571428571429
"k=15, uniform",0.1,9,0.9542857142857143,0.9550561797752809,0.005714285714285714
"k=15, uniform",0.2,9,0.9542857142857143,0.9550561797752809,0.005714285714285714
"k=15, distance",0.0,9,0.96,0.96045197740113,0.0
"k=15, distance",0.05,9,0.9657142857142857,0.9662921348314607,0.005714285714285714
"k=15, distance",0.1,9,0.9657142857142857,0.9662921348314607,0.005714285714285714
"k=15, distance",0.2,9,0.9485714285714286,0.9497206703910615,0.022857142857142857
Выбрано по CV,0.0,9,0.9657142857142857,0.9662921348314607,0.0
Выбрано по CV,0.05,9,0.9714285714285714,0.9720670391061452,0.005714285714285714
Выбрано по CV,0.1,9,0.9657142857142857,0.9662921348314607,0.0
Выбрано по CV,0.2,9,0.9657142857142857,0.9662921348314607,0.0
"k=1, uniform",0.0,10,0.9485714285714286,0.9485714285714286,0.0
"k=1, uniform",0.05,10,0.8857142857142857,0.8863636363636364,0.08571428571428572
"k=1, uniform",0.1,10,0.84,0.8390804597701149,0.13142857142857142
"k=1, uniform",0.2,10,0.7542857142857143,0.7542857142857143,0.21714285714285714
"k=15, uniform",0.0,10,0.9828571428571429,0.9830508474576272,0.0
"k=15, uniform",0.05,10,0.9828571428571429,0.9830508474576272,0.0
"k=15, uniform",0.1,10,0.9885714285714285,0.9887640449438202,0.005714285714285714
"k=15, uniform",0.2,10,0.96,0.9617486338797814,0.03428571428571429
"k=15, distance",0.0,10,0.9657142857142857,0.9655172413793104,0.0
"k=15, distance",0.05,10,0.9771428571428571,0.9775280898876404,0.022857142857142857
"k=15, distance",0.1,10,0.9771428571428571,0.9775280898876404,0.022857142857142857
"k=15, distance",0.2,10,0.9485714285714286,0.9497206703910615,0.05142857142857143
Выбрано по CV,0.0,10,0.9942857142857143,0.9943502824858758,0.0
Выбрано по CV,0.05,10,0.9885714285714285,0.9887640449438202,0.005714285714285714
Выбрано по CV,0.1,10,0.9885714285714285,0.9887640449438202,0.005714285714285714
Выбрано по CV,0.2,10,0.9828571428571429,0.9832402234636871,0.011428571428571429
"k=1, uniform",0.0,11,0.9657142857142857,0.9659090909090909,0.0
"k=1, uniform",0.05,11,0.9314285714285714,0.9310344827586207,0.03428571428571429
"k=1, uniform",0.1,11,0.8742857142857143,0.8735632183908046,0.10285714285714286
"k=1, uniform",0.2,11,0.8114285714285714,0.8047337278106509,0.17714285714285713
"k=15, uniform",0.0,11,0.9942857142857143,0.9943502824858758,0.0
"k=15, uniform",0.05,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
"k=15, uniform",0.1,11,0.9828571428571429,0.9828571428571429,0.011428571428571429
"k=15, uniform",0.2,11,0.9828571428571429,0.9828571428571429,0.011428571428571429
"k=15, distance",0.0,11,0.9942857142857143,0.9943502824858758,0.0
"k=15, distance",0.05,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
"k=15, distance",0.1,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
"k=15, distance",0.2,11,0.9714285714285714,0.9710982658959537,0.022857142857142857
Выбрано по CV,0.0,11,0.9942857142857143,0.9943502824858758,0.0
Выбрано по CV,0.05,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
Выбрано по CV,0.1,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
Выбрано по CV,0.2,11,0.9885714285714285,0.9886363636363636,0.005714285714285714
"k=1, uniform",0.0,12,0.9485714285714286,0.9497206703910615,0.0
"k=1, uniform",0.05,12,0.9314285714285714,0.9325842696629213,0.02857142857142857
"k=1, uniform",0.1,12,0.8571428571428571,0.8587570621468926,0.11428571428571428
"k=1, uniform",0.2,12,0.7371428571428571,0.7386363636363636,0.24571428571428572
"k=15, uniform",0.0,12,0.9428571428571428,0.9438202247191011,0.0
"k=15, uniform",0.05,12,0.9485714285714286,0.9497206703910615,0.005714285714285714
"k=15, uniform",0.1,12,0.9428571428571428,0.9438202247191011,0.0
"k=15, uniform",0.2,12,0.9314285714285714,0.9318181818181818,0.011428571428571429
"k=15, distance",0.0,12,0.9428571428571428,0.9438202247191011,0.0
"k=15, distance",0.05,12,0.9485714285714286,0.9497206703910615,0.005714285714285714
"k=15, distance",0.1,12,0.9371428571428572,0.9378531073446328,0.005714285714285714
"k=15, distance",0.2,12,0.92,0.9204545454545454,0.022857142857142857
Выбрано по CV,0.0,12,0.9428571428571428,0.9438202247191011,0.0
Выбрано по CV,0.05,12,0.9428571428571428,0.9438202247191011,0.0
Выбрано по CV,0.1,12,0.9428571428571428,0.9438202247191011,0.0
Выбрано по CV,0.2,12,0.9428571428571428,0.9438202247191011,0.0
"k=1, uniform",0.0,13,0.9485714285714286,0.9491525423728814,0.0
"k=1, uniform",0.05,13,0.8914285714285715,0.8888888888888888,0.06857142857142857
"k=1, uniform",0.1,13,0.84,0.8390804597701149,0.12
"k=1, uniform",0.2,13,0.76,0.7613636363636364,0.2
"k=15, uniform",0.0,13,0.9714285714285714,0.9717514124293786,0.0
