k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
501,uniform,minkowski_p2,0.7154761904761905,0.7180485044735726,0.7147619047619048,0.7165486198491323,0.00979627266932969,0.010560495665526137,0.03925942224714706,0.04436251641541245
1,distance,minkowski_p2,1.0,1.0,0.9490476190476189,0.9501194007297242,0.0,0.0,0.01981449440517109,0.019911232877751768
3,distance,minkowski_p2,1.0,1.0,0.9576190476190475,0.958567723871107,0.0,0.0,0.01307822023477324,0.012503943159518124
5,distance,minkowski_p2,1.0,1.0,0.9638095238095237,0.9644864963286458,0.0,0.0,0.015383026755086805,0.015181006305475227
7,distance,minkowski_p2,1.0,1.0,0.9657142857142855,0.9663779960055869,0.0,0.0,0.015079961797478501,0.014717040368500158
9,distance,minkowski_p2,1.0,1.0,0.9652380952380949,0.9658670506193096,0.0,0.0,0.014999190130388416,0.014549291224438344
11,distance,minkowski_p2,1.0,1.0,0.9666666666666663,0.9673168375782074,0.0,0.0,0.016569199943970873,0.01611649519168174
15,distance,minkowski_p2,1.0,1.0,0.9695238095238091,0.9701965365525976,0.0,0.0,0.016960481134418972,0.01634137871401657
21,distance,minkowski_p2,1.0,1.0,0.9699999999999999,0.9706966377803685,0.0,0.0,0.01646623898281169,0.015750384327890898
31,distance,minkowski_p2,1.0,1.0,0.9685714285714285,0.969318711244495,0.0,0.0,0.01703195419078069,0.01632828189270881
51,distance,minkowski_p2,1.0,1.0,0.9695238095238093,0.9702025223589854,0.0,0.0,0.015849756200741222,0.015312529596527352
101,distance,minkowski_p2,1.0,1.0,0.9647619047619044,0.9655468597592434,0.0,0.0,0.020465904709734924,0.019823831186920427
201,distance,minkowski_p2,1.0,1.0,0.9480952380952379,0.9488981181648374,0.0,0.0,0.02266286482722056,0.022530629821616993
501,distance,minkowski_p2,1.0,1.0,0.9323809523809524,0.9335205580988728,0.0,0.0,0.02035878379828677,0.020162008646000873
1,uniform,minkowski_p3,1.0,1.0,0.9485714285714284,0.9497242082956386,0.0,0.0,0.019128230781438955,0.01903535443391592
3,uniform,minkowski_p3,0.9746428571428573,0.9752246800813277,0.9590476190476187,0.9596937829487427,0.005236742249505402,0.005117874284924734,0.013353968483070546,0.013316718930606247
5,uniform,minkowski_p3,0.9774999999999999,0.9780021272842042,0.9676190476190474,0.9682607601113807,0.002766416675862431,0.002687984794941921,0.013730715781760794,0.013308127605522569
7,uniform,minkowski_p3,0.9736904761904762,0.974189609408219,0.9690476190476188,0.9696200683454969,0.003406034204030855,0.0033086808785056606,0.013941429613550478,0.013543771369246206
9,uniform,minkowski_p3,0.974047619047619,0.9745279916791791,0.9685714285714284,0.969134423687872,0.0031561253631733344,0.003086183498104534,0.015461793408061888,0.01511673997777888
11,uniform,minkowski_p3,0.9738095238095238,0.974296369852142,0.9690476190476188,0.9696999014915346,0.003352109412317509,0.003309560060602466,0.017634668567096237,0.01698139890650261
15,uniform,minkowski_p3,0.9715476190476192,0.9721760723110485,0.9685714285714284,0.9692283677083846,0.0031271251277532504,0.0030424404083653554,0.01786734402498842,0.01720354168249026
21,uniform,minkowski_p3,0.9702380952380953,0.9708422572918942,0.9671428571428571,0.9678083042932645,0.0034193825277011956,0.0033581617502338682,0.016598500055174662,0.015926681580531364
31,uniform,minkowski_p3,0.9682142857142857,0.968908320512944,0.9676190476190475,0.9683183598167051,0.0033881546358946802,0.0033030443788677494,0.016392299502912877,0.01586055965682088
51,uniform,minkowski_p3,0.9686904761904762,0.9693642738685274,0.968095238095238,0.9687791296224638,0.003927798316012798,0.003850515590652721,0.01767595149967473,0.017120536392075596
101,uniform,minkowski_p3,0.952857142857143,0.9539177599967466,0.9514285714285713,0.9524840301233118,0.0044668360062471305,0.0044052810812423735,0.018547865742860044,0.01794982348809875
201,uniform,minkowski_p3,0.8840476190476191,0.8873581203935627,0.8833333333333333,0.8864260147094587,0.007884537894112316,0.007868224580308166,0.02668063288304542,0.026768029553870247
501,uniform,minkowski_p3,0.7097619047619047,0.7127809627894942,0.7095238095238094,0.7113528337248319,0.009421753358370553,0.010422646398761271,0.03946311215049475,0.04544504800999008
1,distance,minkowski_p3,1.0,1.0,0.9485714285714284,0.9497242082956386,0.0,0.0,0.019128230781438955,0.01903535443391592
3,distance,minkowski_p3,1.0,1.0,0.9566666666666667,0.9574365268767769,0.0,0.0,0.014404269964051586,0.014144592434636045
5,distance,minkowski_p3,1.0,1.0,0.9642857142857142,0.964942551716796,0.0,0.0,0.015031550880261467,0.014812918333394286
7,distance,minkowski_p3,1.0,1.0,0.9642857142857142,0.9649643463820063,0.0,0.0,0.015742090429123994,0.01545602968185554
9,distance,minkowski_p3,1.0,1.0,0.9638095238095237,0.9644672560364805,0.0,0.0,0.01584975620074122,0.015441929366036175
11,distance,minkowski_p3,1.0,1.0,0.9657142857142855,0.9664147408708277,0.0,0.0,0.016017483159468222,0.015584284937285062
15,distance,minkowski_p3,1.0,1.0,0.9685714285714282,0.9692034909161363,0.0,0.0,0.018070158058105038,0.017567264867963978
21,distance,minkowski_p3,1.0,1.0,0.9699999999999999,0.9706644785801066,0.0,0.0,0.01646623898281169,0.015756141184868087
31,distance,minkowski_p3,1.0,1.0,0.968095238095238,0.9688393783707958,0.0,0.0,0.016831064804949704,0.016127417156390808
51,distance,minkowski_p3,1.0,1.0,0.9690476190476189,0.9697553486855482,0.0,0.0,0.015664733251250958,0.01512433948002745
101,distance,minkowski_p3,1.0,1.0,0.9633333333333332,0.9640233220482359,0.0,0.0,0.021743714393963585,0.02122011949619865
