k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
3,distance,chebyshev,1.0,1.0,0.9580952380952379,0.9588512800108475,0.0,0.0,0.013189211364000345,0.012793844965768887
5,distance,chebyshev,1.0,1.0,0.9642857142857141,0.9649111103967376,0.0,0.0,0.015031550880261476,0.01481853868907842
7,distance,chebyshev,1.0,1.0,0.9652380952380951,0.9658914142725903,0.0,0.0,0.013993612314806496,0.013634042578031903
9,distance,chebyshev,1.0,1.0,0.9647619047619045,0.9654139010995522,0.0,0.0,0.0151442689625517,0.01470731221625346
11,distance,chebyshev,1.0,1.0,0.9647619047619045,0.9654500894046537,0.0,0.0,0.014655088636200336,0.014135893772791272
15,distance,chebyshev,1.0,1.0,0.9676190476190473,0.9682769723945406,0.0,0.0,0.016831064804949704,0.01622226113672136
21,distance,chebyshev,1.0,1.0,0.9680952380952379,0.9687521752558066,0.0,0.0,0.017046212840570372,0.016416802919730432
31,distance,chebyshev,1.0,1.0,0.9680952380952379,0.9688472711140654,0.0,0.0,0.01746856123672596,0.0167639843071039
51,distance,chebyshev,1.0,1.0,0.9680952380952379,0.9687646966161118,0.0,0.0,0.01683106480494969,0.016281680845301825
101,distance,chebyshev,1.0,1.0,0.9638095238095237,0.9645170949878068,0.0,0.0,0.019555308918549542,0.01903822689703191
201,distance,chebyshev,1.0,1.0,0.95,0.9509363358156115,0.0,0.0,0.02142857142857143,0.021123249424007617
501,distance,chebyshev,1.0,1.0,0.9361904761904761,0.9372588046433574,0.0,0.0,0.021337675699944363,0.021143878623418075
1,uniform,minkowski_p1,1.0,1.0,0.949047619047619,0.9502520209896956,0.0,0.0,0.01746856123672595,0.017391409954410377
3,uniform,minkowski_p1,0.9767857142857144,0.9772999064877107,0.9633333333333332,0.9638672063430376,0.0041054788110793435,0.004001389632284717,0.014754222271266338,0.014856225407665144
5,uniform,minkowski_p1,0.9783333333333333,0.9788255253828448,0.9676190476190475,0.968162667180158,0.003297302841000094,0.003200372459601305,0.0154774986364968,0.015430231895609357
7,uniform,minkowski_p1,0.975,0.9754642690117642,0.9690476190476188,0.969538183648176,0.0037578877200653534,0.0037216493921813,0.016123310060532425,0.015992082309869097
9,uniform,minkowski_p1,0.9740476190476189,0.9745540599076794,0.9685714285714284,0.9692349678712553,0.002513326966246408,0.002424504837107821,0.014234602442834131,0.013603657685186494
