model,noise,seed,accuracy,f1,disagreement
depth=5,0.2,9,0.8285714285714286,0.8125,0.17142857142857143
leaf=5,0.0,9,0.9428571428571428,0.9428571428571428,0.0
leaf=5,0.05,9,0.9285714285714286,0.9295774647887324,0.014285714285714285
leaf=5,0.1,9,0.8571428571428571,0.8571428571428571,0.08571428571428572
leaf=5,0.2,9,0.8142857142857143,0.8266666666666667,0.18571428571428572
leaf=10,0.0,9,0.9428571428571428,0.9428571428571428,0.0
leaf=10,0.05,9,0.9285714285714286,0.9295774647887324,0.04285714285714286
leaf=10,0.1,9,0.9285714285714286,0.9295774647887324,0.04285714285714286
leaf=10,0.2,9,0.9,0.8955223880597015,0.1
Выбрано по CV,0.0,9,0.8714285714285714,0.8656716417910447,0.0
Выбрано по CV,0.05,9,0.9142857142857143,0.918918918918919,0.1
Выбрано по CV,0.1,9,0.8571428571428571,0.8529411764705882,0.12857142857142856
Выбрано по CV,0.2,9,0.7285714285714285,0.7164179104477612,0.3142857142857143
Без ограничений,0.0,10,0.9571428571428572,0.9577464788732394,0.0
Без ограничений,0.05,10,0.9,0.8985507246376812,0.05714285714285714
Без ограничений,0.1,10,0.8857142857142857,0.8918918918918919,0.1
Без ограничений,0.2,10,0.8714285714285714,0.8732394366197183,0.08571428571428572
depth=3,0.0,10,0.9142857142857143,0.9166666666666666,0.0
depth=3,0.05,10,0.9142857142857143,0.9090909090909091,0.08571428571428572
depth=3,0.1,10,0.9428571428571428,0.9459459459459459,0.02857142857142857
depth=3,0.2,10,0.9142857142857143,0.9166666666666666,0.0
depth=5,0.0,10,0.9428571428571428,0.9428571428571428,0.0
depth=5,0.05,10,0.9285714285714286,0.927536231884058,0.014285714285714285
depth=5,0.1,10,0.9571428571428572,0.958904109589041,0.04285714285714286
depth=5,0.2,10,0.9,0.9041095890410958,0.04285714285714286
leaf=5,0.0,10,0.9428571428571428,0.9428571428571428,0.0
leaf=5,0.05,10,0.9,0.9014084507042254,0.04285714285714286
leaf=5,0.1,10,0.8714285714285714,0.8656716417910447,0.12857142857142856
leaf=5,0.2,10,0.9142857142857143,0.9166666666666666,0.11428571428571428
leaf=10,0.0,10,0.8,0.7741935483870968,0.0
leaf=10,0.05,10,0.9,0.8985507246376812,0.1
leaf=10,0.1,10,0.9,0.8955223880597015,0.12857142857142856
leaf=10,0.2,10,0.8714285714285714,0.8695652173913043,0.24285714285714285
Выбрано по CV,0.0,10,0.9857142857142858,0.9859154929577465,0.0
Выбрано по CV,0.05,10,0.8857142857142857,0.8823529411764706,0.1
Выбрано по CV,0.1,10,0.9285714285714286,0.9295774647887324,0.05714285714285714
Выбрано по CV,0.2,10,0.8142857142857143,0.8115942028985508,0.17142857142857143
Без ограничений,0.0,11,0.9285714285714286,0.9295774647887324,0.0
Без ограничений,0.05,11,0.9142857142857143,0.9142857142857143,0.04285714285714286
Без ограничений,0.1,11,0.8714285714285714,0.8767123287671232,0.14285714285714285
Без ограничений,0.2,11,0.7285714285714285,0.7532467532467533,0.2571428571428571
depth=3,0.0,11,0.9285714285714286,0.9295774647887324,0.0
depth=3,0.05,11,0.9285714285714286,0.927536231884058,0.02857142857142857
depth=3,0.1,11,0.9285714285714286,0.9295774647887324,0.0
depth=3,0.2,11,0.8857142857142857,0.8823529411764706,0.07142857142857142
depth=5,0.0,11,0.9428571428571428,0.9428571428571428,0.0
depth=5,0.05,11,0.9571428571428572,0.958904109589041,0.04285714285714286
depth=5,0.1,11,0.8714285714285714,0.8615384615384616,0.15714285714285714
depth=5,0.2,11,0.8285714285714286,0.8333333333333334,0.17142857142857143
leaf=5,0.0,11,0.9857142857142858,0.9859154929577465,0.0
leaf=5,0.05,11,0.9571428571428572,0.958904109589041,0.02857142857142857
leaf=5,0.1,11,0.8285714285714286,0.8333333333333334,0.18571428571428572
leaf=5,0.2,11,0.8,0.8055555555555556,0.21428571428571427
leaf=10,0.0,11,0.9142857142857143,0.9117647058823529,0.0
leaf=10,0.05,11,0.9428571428571428,0.9459459459459459,0.11428571428571428
leaf=10,0.1,11,0.9571428571428572,0.9552238805970149,0.1
