config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
203,1,entropy,random,3,5,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
204,1,entropy,random,3,5,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
205,1,entropy,random,3,10,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
206,1,entropy,random,3,10,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
207,1,entropy,random,3,10,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
208,1,entropy,random,3,10,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
209,1,entropy,random,3,10,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
210,1,entropy,random,5,2,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
211,1,entropy,random,5,2,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
212,1,entropy,random,5,2,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
213,1,entropy,random,5,2,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
214,1,entropy,random,5,2,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
215,1,entropy,random,5,5,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
