splitter,seed,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
random,0,0.8258928571428572,0.8417740797972896,0.8083333333333335,0.821103283372923,0.06889231228823595,0.06359350820180147,0.08388423347596578,0.09206443952017224
random,1,0.8889880952380953,0.8919661168772702,0.8702380952380953,0.8743831418225121,0.014204435020332262,0.016412393784509406,0.040757823719667144,0.0391515404371612
random,2,0.861309523809524,0.8639206206502718,0.8333333333333333,0.8290471768393087,0.03717771291002989,0.04680676275128078,0.06532140021125385,0.09590001582410176
random,3,0.9083333333333332,0.9110499265698215,0.875,0.880696550444902,0.011795308916652482,0.013180966029603846,0.028635133062045466,0.02537505620081106
random,4,0.9339285714285716,0.9342197585600179,0.9178571428571428,0.9186280094114783,0.022838401117365195,0.021224159435028547,0.03361156957551143,0.0291670867456551
random,5,0.8955357142857141,0.9002624457226446,0.8761904761904763,0.878925215291133,0.036960095394945866,0.03488796008526764,0.04398322190931231,0.04645667933716032
random,6,0.8505952380952381,0.8655831478285099,0.8321428571428571,0.8514547997139164,0.01390052557542632,0.010723253521198298,0.05638851587896307,0.04231213069039415
random,7,0.8785714285714284,0.8745882324267105,0.8440476190476189,0.8390838805564733,0.014337438249858754,0.01792970871039847,0.04293501994646902,0.04320907084679263
random,8,0.8654761904761904,0.8807408351115693,0.85,0.8677739176770943,0.015173568603310763,0.012157252275550772,0.03622089663122214,0.028838446835813696
random,9,0.8833333333333334,0.8817379528257203,0.8571428571428572,0.852656607399384,0.011915386415492996,0.013976931241283573,0.041605883750765536,0.04982152032069633
random,10,0.9023809523809524,0.9055791562881162,0.8857142857142858,0.8867500686644533,0.007520824668406088,0.007061840399764061,0.03622089663122216,0.045254375594812914
random,11,0.9092261904761904,0.9114153120343985,0.8964285714285716,0.8982839386107491,0.011277029940369767,0.010997089486166296,0.02543355832778472,0.029671048892392603
random,12,0.9458333333333333,0.945183254473157,0.9488095238095238,0.9475365279834,0.01420443502033227,0.014633161767095995,0.01893033620318961,0.019619198742879637
random,13,0.8913690476190477,0.8993310820482173,0.8857142857142857,0.8945628386067458,0.007482872409352926,0.0065359999777615556,0.029264551836122425,0.02595305382176844
random,14,0.9285714285714286,0.9318875727894514,0.9261904761904763,0.9296847522885282,0.01537241172601268,0.014682538592704958,0.03156125363173344,0.029462190896305973
random,15,0.9199404761904761,0.9140895526189621,0.9071428571428571,0.8986893295746294,0.03553312898673503,0.044358935124911576,0.06823204705193857,0.07914415221863197
random,16,0.8675595238095238,0.8521162010813261,0.8642857142857143,0.8487475145603961,0.015248438639820835,0.019618093731720822,0.038654483520154714,0.04701673071052783
random,17,0.9056547619047618,0.9031652095319501,0.8773809523809523,0.876212262960492,0.014984756994254882,0.018081888365383037,0.03869374659124197,0.036420988962344344
random,18,0.9104166666666667,0.9118768676102545,0.8904761904761904,0.8931628186653654,0.013652528003782754,0.013274800497424783,0.046695985514475694,0.0457867877923954
random,19,0.9107142857142858,0.9088427306560339,0.8749999999999998,0.8718900640840995,0.018173223021396682,0.02053498381190345,0.039355226072809994,0.04090680802571617
