method,degree,alpha,cv_mse_mean,cv_mse_std,variant
Ridge,5,100.0,1151.427655378742,536.2564861070413,3
Ridge,6,0.01,785.0824119079616,315.7797384425107,3
Ridge,6,0.1,765.4541404008796,207.51856531242234,3
Ridge,6,1.0,784.0806452247571,183.7639607974848,3
Ridge,6,10.0,866.0628301131221,306.09522433693866,3
Ridge,6,100.0,1143.237733683304,545.9197676638355,3
Ridge,7,0.01,758.5324747640743,328.35953375798846,3
Ridge,7,0.1,760.8732096862148,212.42095147414852,3
Ridge,7,1.0,782.8348032623614,186.97123518451463,3
Ridge,7,10.0,864.082283287095,306.0766561318266,3
Ridge,7,100.0,1149.8844518225517,539.1716537817441,3
Ridge,8,0.01,824.0633517305141,370.4443550643134,3
Ridge,8,0.1,774.1378381735454,270.92322070664676,3
Ridge,8,1.0,779.5641743332645,188.36002365814892,3
Ridge,8,10.0,865.612024103127,305.80065882609017,3
Ridge,8,100.0,1151.1293720640954,542.9436288860611,3
Ridge,9,0.01,801.4126036895967,350.4543941531474,3
Ridge,9,0.1,757.1900797595666,278.57870495026566,3
Ridge,9,1.0,777.3564805008907,194.31043526434053,3
Ridge,9,10.0,859.8526287640692,308.7529782583721,3
Ridge,9,100.0,1160.3050553133667,536.4363380085144,3
Lasso,1,0.01,1108.4727249307002,337.11737895847995,3
Lasso,1,0.1,1108.8055757134123,336.56726922530936,3
Lasso,1,1.0,1113.1511329367827,332.64454009432677,3
Lasso,1,10.0,1258.3116447955213,425.17249148880893,3
Lasso,1,100.0,1755.205002596046,660.4907241184393,3
Lasso,2,0.01,759.9288384152799,187.66707505796006,3
Lasso,2,0.1,760.6004854502438,189.6598248348181,3
Lasso,2,1.0,769.4756926510285,211.26627677867043,3
Lasso,2,10.0,1074.1014497734154,455.07011361527304,3
Lasso,2,100.0,1755.205002596046,660.4907241184393,3
Lasso,3,0.01,767.4305862334174,195.46711860976066,3
Lasso,3,0.1,767.3780968124845,196.62469988191975,3
Lasso,3,1.0,776.5195499686345,213.98841041743054,3
Lasso,3,10.0,1079.7769509422042,457.5828050812892,3
Lasso,3,100.0,1755.205002596046,660.4907241184393,3
Lasso,4,0.01,770.504195913393,172.07313786722628,3
Lasso,4,0.1,770.3968525352692,175.91146566709057,3
Lasso,4,1.0,782.5129794009594,214.87413706604752,3
Lasso,4,10.0,1079.7769509422042,457.5828050812892,3
Lasso,4,100.0,1755.205002596046,660.4907241184393,3
Lasso,5,0.01,780.0852842264067,168.10519335236478,3
Lasso,5,0.1,771.6298565242929,177.4790238402087,3
Lasso,5,1.0,782.75154761881,214.926612301134,3
